RequestorODS,Month,RegistrationCount,RequestCount,IntegratedCount,SuppressedCount,SuccessRate
A81029,08,62,2,1,0,"0.5"
A81030,05,45,8,8,0,1
A81030,06,69,6,6,0,1
A81030,07,76,25,15,0,"0.6"
A81030,08,95,22,21,0,"0.9545454545454546"
A81031,05,35,7,6,0,"0.8571428571428571"
A81031,06,48,5,4,0,"0.8"
A81031,07,66,12,12,0,1
A81031,08,66,13,13,0,1
A81032,05,54,15,7,0,"0.4666666666666667"
A81032,06,44,10,6,0,"0.6"
A81032,07,63,15,12,0,"0.8"
A81032,08,67,14,12,0,"0.8571428571428571"
A81034,05,129,20,17,0,"0.85"
A81034,06,111,20,13,0,"0.65"
A81034,07,174,31,27,0,"0.8709677419354839"
A81034,08,137,19,16,0,"0.8421052631578947"
A81035,05,68,32,29,1,"0.9375"
A81035,06,37,23,21,0,"0.9130434782608695"
A81035,07,37,24,23,1,1
A81035,08,35,19,18,0,"0.9473684210526315"
A81036,05,91,14,13,0,"0.9285714285714286"
A81036,06,84,19,14,0,"0.7368421052631579"
A81036,07,93,19,18,0,"0.9473684210526315"
A81036,08,101,16,14,0,"0.875"
A81037,05,27,1,1,0,1
A81037,06,12,,0,0,
A81037,07,13,2,2,0,1
A81037,08,9,1,1,0,1
A81038,05,25,4,2,0,"0.5"
A81038,06,24,6,6,0,1
A81038,07,19,2,2,0,1
A81038,08,18,2,1,0,"0.5"
A81039,05,57,36,31,0,"0.8611111111111112"
A81039,06,71,51,49,0,"0.9607843137254902"
A81039,07,118,79,74,0,"0.9367088607594937"
A81039,08,65,39,35,1,"0.9230769230769231"
A81040,05,51,39,29,8,"0.9487179487179487"
A81040,06,35,27,20,6,"0.9629629629629629"
A81040,07,49,37,29,6,"0.9459459459459459"
A81040,08,26,7,6,1,1
A81041,05,35,6,5,0,"0.8333333333333334"
A81041,06,37,7,7,0,1
A81041,07,35,4,4,0,1
A81041,08,28,4,2,0,"0.5"
A81042,05,56,8,5,0,"0.625"
A81042,06,60,8,8,0,1
A81042,07,100,18,16,0,"0.8888888888888888"
A81042,08,59,6,4,0,"0.6666666666666666"
A81043,05,31,21,14,6,"0.9523809523809523"
A81043,06,30,21,21,0,1
A81043,07,47,31,26,4,"0.967741935483871"
A81043,08,59,31,23,7,"0.967741935483871"
A81044,05,73,9,8,0,"0.8888888888888888"
A81044,06,64,13,11,0,"0.8461538461538461"
A81044,07,82,19,18,0,"0.9473684210526315"
A81044,08,60,17,14,0,"0.8235294117647058"
A81045,05,36,11,1,0,"0.09090909090909091"
A81045,06,14,2,0,0,0
A81045,07,44,8,2,0,"0.25"
A81045,08,30,7,7,0,1
A81046,05,48,20,19,0,"0.95"
A81046,06,54,10,10,0,1
A81046,07,56,8,8,0,1
A81046,08,71,19,19,0,1
A81048,05,23,5,5,0,1
A81048,06,23,3,3,0,1
A81048,07,33,11,11,0,1
A81048,08,32,6,2,0,"0.3333333333333333"
A81049,05,29,9,4,0,"0.4444444444444444"
A81049,06,40,9,0,0,0
A81049,07,37,7,0,0,0
A81049,08,43,14,0,0,0
A81051,05,30,6,6,0,1
A81051,06,18,2,1,0,"0.5"
A81051,07,10,5,4,0,"0.8"
A81051,08,18,5,0,0,0
A81052,05,58,15,11,0,"0.7333333333333333"
A81052,06,63,19,9,0,"0.47368421052631576"
A81052,07,79,15,11,0,"0.7333333333333333"
A81052,08,47,4,4,0,1
A81053,05,30,18,16,1,"0.9444444444444444"
A81053,06,30,17,15,2,1
A81053,07,31,17,13,2,"0.8823529411764706"
A81053,08,32,25,23,1,"0.96"
A81054,05,42,11,1,0,"0.09090909090909091"
A81054,06,53,10,8,0,"0.8"
A81054,07,49,9,6,0,"0.6666666666666666"
A81054,08,34,6,1,0,"0.16666666666666666"
A81056,06,7,1,1,0,1
A81056,07,9,4,4,0,1
A81056,08,13,8,8,0,1
A81057,05,38,12,4,0,"0.3333333333333333"
A81057,06,39,5,1,0,"0.2"
A81057,07,60,13,0,0,0
A81057,08,51,5,1,0,"0.2"
A81058,05,102,84,67,6,"0.8690476190476191"
A81058,06,77,60,54,5,"0.9833333333333333"
A81058,07,74,61,50,6,"0.9180327868852459"
A81058,08,39,22,15,5,"0.9090909090909091"
A81060,05,3,,0,0,
A81060,06,12,3,2,0,"0.6666666666666666"
A81060,07,12,3,0,0,0
A81060,08,30,4,3,0,"0.75"
A81063,05,25,3,1,0,"0.3333333333333333"
A81063,06,30,5,5,0,1
A81063,07,20,3,1,0,"0.3333333333333333"
A81063,08,26,2,1,0,"0.5"
A81064,05,35,4,4,0,1
A81064,06,33,9,9,0,1
A81064,07,33,7,4,0,"0.5714285714285714"
A81064,08,43,4,2,0,"0.5"
A81065,05,18,1,1,0,1
A81065,06,29,4,3,0,"0.75"
A81065,07,27,4,4,0,1
A81065,08,25,9,4,0,"0.4444444444444444"
A81066,05,33,18,16,2,1
A81066,06,35,26,21,3,"0.9230769230769231"
A81066,07,22,15,13,1,"0.9333333333333333"
A81066,08,39,18,16,2,1
A81067,05,52,7,5,0,"0.7142857142857143"
A81067,06,100,8,5,0,"0.625"
A81067,07,75,7,6,0,"0.8571428571428571"
A81067,08,77,7,5,0,"0.7142857142857143"
A81070,05,31,10,9,0,"0.9"
A81070,06,30,5,5,0,1
A81070,07,36,11,10,0,"0.9090909090909091"
A81070,08,33,3,2,0,"0.6666666666666666"
A81602,05,1,,0,0,
A81602,06,7,1,0,0,0
A81602,07,6,1,0,0,0
A81602,08,10,,0,0,
A81608,05,81,13,0,0,0
A81608,06,64,9,5,0,"0.5555555555555556"
A81608,07,110,15,10,0,"0.6666666666666666"
A81608,08,91,11,10,0,"0.9090909090909091"
A81610,05,32,8,0,0,0
A81610,06,45,10,4,0,"0.4"
A81610,07,34,4,0,0,0
A81610,08,48,7,1,0,"0.14285714285714285"
A81611,05,76,61,57,3,"0.9836065573770492"
A81611,06,76,54,50,1,"0.9444444444444444"
A81611,07,66,55,46,5,"0.9272727272727272"
A81611,08,66,56,46,3,"0.875"
A81612,05,7,1,0,0,0
A81612,06,19,3,3,0,1
A81612,07,21,3,3,0,1
A81612,08,23,7,4,0,"0.5714285714285714"
A81618,05,58,42,32,9,"0.9761904761904762"
A81618,06,53,42,33,3,"0.8571428571428571"
A81618,07,60,41,28,8,"0.8780487804878049"
A81618,08,51,42,35,5,"0.9523809523809523"
A81621,05,11,1,0,0,0
A81621,06,25,4,4,0,1
A81621,07,31,5,4,0,"0.8"
A81621,08,29,2,1,0,"0.5"
A81622,05,27,8,2,0,"0.25"
A81622,06,34,3,3,0,1
A81622,07,28,3,2,0,"0.6666666666666666"
A81622,08,31,4,4,0,1
A81629,05,13,,0,0,
A81629,06,9,1,1,0,1
A81629,07,12,,0,0,
A81629,08,15,1,0,0,0
A81630,05,13,3,1,0,"0.3333333333333333"
A81630,06,9,2,2,0,1
A81630,07,16,1,1,0,1
A81630,08,6,1,0,0,0
A81631,05,30,3,3,0,1
A81631,06,30,3,2,0,"0.6666666666666666"
A81631,07,40,3,2,0,"0.6666666666666666"
A81631,08,28,2,2,0,1
A81633,05,39,3,3,0,1
A81633,06,24,,0,0,
A81633,07,33,2,2,0,1
A81633,08,5,,0,0,
A81634,05,91,8,6,0,"0.75"
A81634,06,58,2,2,0,1
A81634,07,23,2,2,0,1
A81634,08,25,2,1,0,"0.5"
A82003,05,52,29,23,6,1
A82003,06,58,41,31,9,"0.975609756097561"
A82003,07,73,50,47,3,1
A82003,08,54,33,28,4,"0.9696969696969697"
A82004,05,11,8,6,2,1
A82004,06,12,3,2,1,1
A82004,07,19,14,12,1,"0.9285714285714286"
A82004,08,15,8,6,1,"0.875"
A82005,05,59,35,32,1,"0.9428571428571428"
A82005,06,49,35,29,5,"0.9714285714285714"
A82005,07,55,26,24,1,"0.9615384615384616"
A82005,08,51,32,29,2,"0.96875"
A82006,05,21,14,11,2,"0.9285714285714286"
A82006,06,27,15,13,1,"0.9333333333333333"
A82006,07,34,22,21,1,1
A82006,08,27,22,21,1,1
A82007,05,44,28,22,4,"0.9285714285714286"
A82007,06,43,31,26,4,"0.967741935483871"
A82007,07,39,25,23,2,1
A82007,08,33,22,14,8,1
A82008,05,51,35,33,2,1
A82008,06,46,24,20,2,"0.9166666666666666"
A82008,07,48,26,22,4,1
A82008,08,53,28,27,1,1
A82009,05,19,13,10,3,1
A82009,06,28,17,16,1,1
A82009,07,39,24,20,3,"0.9583333333333334"
A82009,08,24,19,12,7,1
A82010,05,26,15,15,0,1
A82010,06,20,10,10,0,1
A82010,07,19,10,10,0,1
A82010,08,20,10,9,1,1
A82012,05,100,56,52,3,"0.9821428571428571"
A82012,06,81,44,42,2,1
A82012,07,113,69,65,1,"0.9565217391304348"
A82012,08,105,63,61,2,1
A82013,05,37,29,24,4,"0.9655172413793104"
A82013,06,35,22,17,5,1
A82013,07,41,32,21,10,"0.96875"
A82013,08,36,25,18,7,1
A82014,05,14,6,5,1,1
A82014,06,26,19,17,2,1
A82014,07,20,11,9,2,1
A82014,08,16,11,10,1,1
A82015,05,18,7,5,2,1
A82015,06,16,3,3,0,1
A82015,07,35,11,9,2,1
A82015,08,21,9,8,1,1
A82016,05,216,114,91,18,"0.956140350877193"
A82016,06,197,90,79,6,"0.9444444444444444"
A82016,07,238,108,91,17,1
A82016,08,262,130,108,19,"0.9769230769230769"
A82018,05,67,31,29,1,"0.967741935483871"
A82018,06,53,29,26,1,"0.9310344827586207"
A82018,07,70,31,27,4,1
A82018,08,64,30,30,0,1
A82019,05,29,17,15,0,"0.8823529411764706"
A82019,06,44,20,16,0,"0.8"
A82019,07,34,15,14,0,"0.9333333333333333"
A82019,08,39,17,17,0,1
A82020,05,23,4,4,0,1
A82020,06,13,1,0,1,1
A82020,07,15,2,2,0,1
A82020,08,14,1,1,0,1
A82021,05,64,32,22,10,1
A82021,06,86,46,34,12,1
A82021,07,94,62,56,6,1
A82021,08,109,70,57,10,"0.9571428571428572"
A82022,05,28,16,15,0,"0.9375"
A82022,06,29,18,18,0,1
A82022,07,50,21,21,0,1
A82022,08,27,16,13,0,"0.8125"
A82023,05,15,4,3,1,1
A82023,06,28,16,16,0,1
A82023,07,30,18,17,1,1
A82023,08,32,25,25,0,1
A82024,05,28,14,13,1,1
A82024,06,26,14,11,3,1
A82024,07,29,19,16,3,1
A82024,08,31,20,17,2,"0.95"
A82025,05,73,50,45,5,1
A82025,06,64,37,35,1,"0.972972972972973"
A82025,07,78,46,44,1,"0.9782608695652174"
A82025,08,65,52,51,0,"0.9807692307692307"
A82026,05,95,65,57,8,1
A82026,06,69,56,45,11,1
A82026,07,117,67,47,18,"0.9701492537313433"
A82026,08,105,69,55,13,"0.9855072463768116"
A82027,05,34,23,22,1,1
A82027,06,34,23,20,2,"0.9565217391304348"
A82027,07,38,29,27,2,1
A82027,08,33,22,21,0,"0.9545454545454546"
A82028,05,41,24,23,0,"0.9583333333333334"
A82028,06,41,23,20,3,1
A82028,07,56,35,32,3,1
A82028,08,60,31,26,5,1
A82029,05,13,6,4,2,1
A82029,06,21,6,6,0,1
A82029,07,22,17,11,6,1
A82029,08,21,17,11,6,1
A82030,05,61,46,41,4,"0.9782608695652174"
A82030,06,64,51,44,5,"0.9607843137254902"
A82030,07,35,18,15,1,"0.8888888888888888"
A82030,08,50,33,29,1,"0.9090909090909091"
A82031,05,14,10,8,2,1
A82031,06,19,12,11,1,1
A82031,07,48,26,22,4,1
A82031,08,17,11,10,0,"0.9090909090909091"
A82032,05,44,24,21,3,1
A82032,06,64,43,38,5,1
A82032,07,67,48,38,8,"0.9583333333333334"
A82032,08,82,64,56,8,1
A82033,05,24,12,9,1,"0.8333333333333334"
A82033,06,23,13,9,4,1
A82033,07,29,22,15,7,1
A82033,08,24,15,14,1,1
A82034,05,23,11,11,0,1
A82034,06,28,23,22,1,1
A82034,07,55,42,38,3,"0.9761904761904762"
A82034,08,30,18,14,3,"0.9444444444444444"
A82035,05,50,21,17,3,"0.9523809523809523"
A82035,06,43,25,21,4,1
A82035,07,66,35,28,7,1
A82035,08,61,37,26,11,1
A82036,05,72,45,40,4,"0.9777777777777777"
A82036,06,50,36,34,2,1
A82036,07,91,53,49,1,"0.9433962264150944"
A82036,08,81,55,52,2,"0.9818181818181818"
A82037,05,25,21,19,2,1
A82037,06,28,15,13,1,"0.9333333333333333"
A82037,07,43,37,33,3,"0.972972972972973"
A82037,08,28,20,20,0,1
A82038,05,10,5,4,1,1
A82038,06,24,16,16,0,1
A82038,07,38,27,23,3,"0.9629629629629629"
A82038,08,25,20,19,1,1
A82039,05,42,26,24,2,1
A82039,06,40,23,20,1,"0.9130434782608695"
A82039,07,33,19,19,0,1
A82039,08,41,29,28,1,1
A82041,05,41,19,16,2,"0.9473684210526315"
A82041,06,36,16,15,0,"0.9375"
A82041,07,20,6,5,1,1
A82041,08,24,5,3,2,1
A82044,05,104,53,45,6,"0.9622641509433962"
A82044,06,79,44,34,8,"0.9545454545454546"
A82044,07,95,54,17,7,"0.4444444444444444"
A82044,08,103,56,9,1,"0.17857142857142858"
A82045,05,47,29,24,5,1
A82045,06,50,30,26,3,"0.9666666666666667"
A82045,07,38,25,24,0,"0.96"
A82045,08,53,37,27,10,1
A82046,05,71,44,39,2,"0.9318181818181818"
A82046,06,52,32,27,5,1
A82046,07,67,37,29,8,1
A82046,08,66,40,33,5,"0.95"
A82047,05,42,19,16,2,"0.9473684210526315"
A82047,06,32,17,14,2,"0.9411764705882353"
A82047,07,33,18,17,0,"0.9444444444444444"
A82047,08,55,31,28,2,"0.967741935483871"
A82048,05,17,9,9,0,1
A82048,06,9,2,1,1,1
A82048,07,11,3,2,1,1
A82048,08,8,1,1,0,1
A82049,05,30,23,20,3,1
A82049,06,34,19,18,0,"0.9473684210526315"
A82049,07,22,12,8,4,1
A82049,08,18,15,14,1,1
A82050,05,33,23,22,1,1
A82050,06,34,18,17,1,1
A82050,07,42,27,24,1,"0.9259259259259259"
A82050,08,21,10,7,3,1
A82053,05,33,26,24,1,"0.9615384615384616"
A82053,06,39,32,32,0,1
A82053,07,39,29,27,1,"0.9655172413793104"
A82053,08,37,32,27,2,"0.90625"
A82055,05,26,16,15,1,1
A82055,06,22,16,12,2,"0.875"
A82055,07,31,23,21,1,"0.9565217391304348"
A82055,08,44,23,22,1,1
A82058,05,8,4,3,1,1
A82058,06,14,4,4,0,1
A82058,07,6,3,3,0,1
A82058,08,11,6,5,1,1
A82062,05,19,8,6,2,1
A82062,06,16,8,8,0,1
A82062,07,26,10,9,0,"0.9"
A82062,08,15,7,7,0,1
A82064,05,14,2,1,0,"0.5"
A82064,06,21,5,4,1,1
A82064,07,27,17,16,0,"0.9411764705882353"
A82064,08,20,8,8,0,1
A82065,05,21,14,14,0,1
A82065,06,13,12,8,4,1
A82065,07,20,15,14,1,1
A82065,08,13,9,9,0,1
A82068,05,26,10,7,3,1
A82068,06,26,17,14,3,1
A82068,07,26,21,17,4,1
A82068,08,18,12,10,2,1
A82070,05,7,1,0,1,1
A82070,06,6,3,0,3,1
A82070,07,1,,0,0,
A82070,08,9,3,3,0,1
A82071,05,39,11,10,1,1
A82071,06,37,17,15,1,"0.9411764705882353"
A82071,07,13,7,4,3,1
A82071,08,14,12,9,1,"0.8333333333333334"
A82072,05,21,10,9,1,1
A82072,06,27,17,12,5,1
A82072,07,8,2,1,1,1
A82072,08,14,7,7,0,1
A82075,05,18,6,6,0,1
A82075,06,19,13,13,0,1
A82075,07,19,11,10,0,"0.9090909090909091"
A82075,08,5,,0,0,
A82077,05,5,1,1,0,1
A82077,06,15,7,5,2,1
A82077,07,15,7,7,0,1
A82077,08,14,6,5,1,1
A82608,05,28,12,12,0,1
A82608,06,19,9,7,1,"0.8888888888888888"
A82608,07,25,7,5,2,1
A82608,08,111,82,76,2,"0.9512195121951219"
A82613,05,12,7,7,0,1
A82613,06,16,13,12,1,1
A82613,07,6,2,2,0,1
A82613,08,7,4,4,0,1
A82617,05,14,10,9,1,1
A82617,06,13,12,9,2,"0.9166666666666666"
A82617,07,16,9,8,1,1
A82617,08,33,21,21,0,1
A82620,05,18,5,5,0,1
A82620,06,12,5,4,0,"0.8"
A82620,07,14,11,10,0,"0.9090909090909091"
A82620,08,6,4,4,0,1
A82621,05,10,8,7,0,"0.875"
A82621,06,4,1,1,0,1
A82621,07,10,4,4,0,1
A82621,08,1,1,0,0,0
A82623,05,23,8,7,1,1
A82623,06,18,12,11,1,1
A82623,07,20,8,8,0,1
A82623,08,18,8,8,0,1
A82629,05,11,3,3,0,1
A82629,06,14,6,5,1,1
A82629,07,12,8,6,1,"0.875"
A82629,08,9,6,4,2,1
A82631,05,19,14,14,0,1
A82631,06,22,18,17,1,1
A82631,07,33,24,18,5,"0.9583333333333334"
A82631,08,41,30,26,1,"0.9"
A82646,05,12,5,5,0,1
A82646,06,25,14,14,0,1
A82646,07,20,10,9,1,1
A82646,08,20,13,13,0,1
A82647,05,30,25,21,2,"0.92"
A82647,06,13,11,9,2,1
A82647,07,21,17,13,2,"0.8823529411764706"
A82647,08,22,18,17,0,"0.9444444444444444"
A82650,05,23,12,12,0,1
A82650,06,18,12,11,1,1
A82650,07,15,9,9,0,1
A82650,08,11,5,5,0,1
A82651,05,19,14,11,2,"0.9285714285714286"
A82651,06,19,7,6,1,1
A82651,07,26,18,14,1,"0.8333333333333334"
A82651,08,25,12,11,1,1
A82654,05,48,22,20,2,1
A82654,06,38,13,13,0,1
A82654,07,37,12,12,0,1
A82654,08,32,16,14,2,1
A83001,05,82,17,10,0,"0.5882352941176471"
A83001,06,84,27,21,0,"0.7777777777777778"
A83001,07,92,23,22,0,"0.9565217391304348"
A83001,08,98,22,21,0,"0.9545454545454546"
A83003,05,72,50,40,7,"0.94"
A83003,06,47,27,20,4,"0.8888888888888888"
A83003,07,57,35,31,3,"0.9714285714285714"
A83003,08,48,33,24,5,"0.8787878787878788"
A83004,05,4,,0,0,
A83004,06,12,4,4,0,1
A83004,07,15,2,2,0,1
A83004,08,19,6,6,0,1
A83005,05,41,4,4,0,1
A83005,06,58,10,10,0,1
A83005,07,54,8,7,0,"0.875"
A83005,08,53,10,10,0,1
A83006,05,43,3,2,0,"0.6666666666666666"
A83006,06,27,1,0,0,0
A83006,07,37,7,6,0,"0.8571428571428571"
A83006,08,26,8,5,0,"0.625"
A83007,05,46,8,8,0,1
A83007,06,49,6,6,0,1
A83007,07,42,7,7,0,1
A83007,08,33,5,5,0,1
A83008,05,33,10,5,0,"0.5"
A83008,06,44,12,10,0,"0.8333333333333334"
A83008,07,51,11,3,0,"0.2727272727272727"
A83008,08,42,6,6,0,1
A83009,05,33,18,14,4,1
A83009,06,55,42,39,1,"0.9523809523809523"
A83009,07,42,32,30,1,"0.96875"
A83009,08,47,29,20,5,"0.8620689655172413"
A83010,05,41,9,8,0,"0.8888888888888888"
A83010,06,52,8,8,0,1
A83010,07,35,7,7,0,1
A83010,08,45,14,13,0,"0.9285714285714286"
A83011,05,191,134,96,29,"0.9328358208955224"
A83011,06,108,64,49,13,"0.96875"
A83011,07,152,59,53,5,"0.9830508474576272"
A83011,08,643,118,102,11,"0.9576271186440678"
A83012,05,76,21,9,0,"0.42857142857142855"
A83012,06,59,19,11,0,"0.5789473684210527"
A83012,07,59,23,20,0,"0.8695652173913043"
A83012,08,63,18,9,0,"0.5"
A83013,05,77,8,7,0,"0.875"
A83013,06,79,17,12,0,"0.7058823529411765"
A83013,07,82,11,6,0,"0.5454545454545454"
A83013,08,100,21,8,0,"0.38095238095238093"
A83014,05,37,15,9,0,"0.6"
A83014,06,16,6,3,0,"0.5"
A83014,07,26,9,2,0,"0.2222222222222222"
A83014,08,26,4,4,0,1
A83015,05,48,12,8,0,"0.6666666666666666"
A83015,06,35,8,3,0,"0.375"
A83015,07,40,6,4,0,"0.6666666666666666"
A83015,08,43,10,9,0,"0.9"
A83016,05,28,11,11,0,1
A83016,06,30,11,11,0,1
A83016,07,46,14,13,0,"0.9285714285714286"
A83016,08,47,11,10,0,"0.9090909090909091"
A83017,05,18,8,4,0,"0.5"
A83018,05,71,14,11,0,"0.7857142857142857"
A83018,06,80,23,21,0,"0.9130434782608695"
A83018,07,62,27,17,0,"0.6296296296296297"
A83018,08,75,28,23,0,"0.8214285714285714"
A83020,05,81,22,16,0,"0.7272727272727273"
A83020,06,55,12,8,0,"0.6666666666666666"
A83020,07,85,25,21,0,"0.84"
A83020,08,78,18,1,0,"0.05555555555555555"
A83021,05,64,6,6,0,1
A83021,06,79,12,10,0,"0.8333333333333334"
A83021,07,83,13,12,0,"0.9230769230769231"
A83021,08,74,8,7,0,"0.875"
A83022,05,140,46,45,0,"0.9782608695652174"
A83022,06,135,36,34,0,"0.9444444444444444"
A83022,07,167,48,48,0,1
A83022,08,128,35,34,0,"0.9714285714285714"
A83023,05,103,35,33,0,"0.9428571428571428"
A83023,06,73,30,27,0,"0.9"
A83023,07,72,26,23,0,"0.8846153846153846"
A83023,08,71,16,12,0,"0.75"
A83024,05,20,12,10,2,1
A83024,06,18,5,4,1,1
A83024,07,32,20,17,2,"0.95"
A83024,08,21,14,13,1,1
A83025,05,42,7,5,0,"0.7142857142857143"
A83025,06,57,7,7,0,1
A83025,07,63,18,17,0,"0.9444444444444444"
A83025,08,57,11,7,0,"0.6363636363636364"
A83026,05,50,25,17,8,1
A83026,06,49,19,14,5,1
A83026,07,51,13,9,2,"0.8461538461538461"
A83026,08,65,21,13,6,"0.9047619047619048"
A83027,05,32,16,12,0,"0.75"
A83027,06,25,7,5,0,"0.7142857142857143"
A83027,07,49,4,3,0,"0.75"
A83027,08,32,12,7,0,"0.5833333333333334"
A83028,05,80,32,29,3,1
A83028,06,40,24,22,2,1
A83028,07,66,50,41,8,"0.98"
A83028,08,54,41,37,2,"0.9512195121951219"
A83029,05,15,12,12,0,1
A83029,06,19,12,12,0,1
A83029,07,20,17,16,0,"0.9411764705882353"
A83029,08,28,17,11,4,"0.8823529411764706"
A83030,05,96,34,31,0,"0.9117647058823529"
A83030,06,70,15,15,0,1
A83030,07,101,35,35,0,1
A83030,08,133,42,39,0,"0.9285714285714286"
A83031,05,42,8,8,0,1
A83031,06,50,13,9,0,"0.6923076923076923"
A83031,07,60,10,5,0,"0.5"
A83031,08,51,6,4,0,"0.6666666666666666"
A83032,05,11,2,2,0,1
A83032,06,15,5,4,0,"0.8"
A83032,07,14,1,1,0,1
A83032,08,27,15,11,0,"0.7333333333333333"
A83033,05,56,27,26,0,"0.9629629629629629"
A83033,06,40,27,25,0,"0.9259259259259259"
A83033,07,73,31,29,0,"0.9354838709677419"
A83033,08,55,29,27,0,"0.9310344827586207"
A83034,05,39,6,6,0,1
A83034,06,56,8,8,0,1
A83034,07,46,6,4,0,"0.6666666666666666"
A83034,08,47,13,10,0,"0.7692307692307693"
A83035,05,33,13,10,0,"0.7692307692307693"
A83035,06,27,7,4,0,"0.5714285714285714"
A83035,07,38,5,4,0,"0.8"
A83035,08,45,11,7,0,"0.6363636363636364"
A83036,05,45,21,16,5,1
A83036,06,23,14,13,1,1
A83036,07,32,24,14,6,"0.8333333333333334"
A83036,08,47,32,21,10,"0.96875"
A83037,05,56,4,3,0,"0.75"
A83037,06,55,16,16,0,1
A83037,07,64,13,11,0,"0.8461538461538461"
A83037,08,79,18,14,0,"0.7777777777777778"
A83038,05,32,14,11,0,"0.7857142857142857"
A83038,06,21,6,5,0,"0.8333333333333334"
A83038,07,23,6,6,0,1
A83038,08,21,12,12,0,1
A83040,05,42,8,6,0,"0.75"
A83040,06,49,8,6,0,"0.75"
A83040,07,58,10,9,0,"0.9"
A83040,08,57,7,5,0,"0.7142857142857143"
A83041,05,32,23,22,0,"0.9565217391304348"
A83041,06,38,25,22,2,"0.96"
A83041,07,32,14,13,1,1
A83041,08,20,8,7,0,"0.875"
A83043,05,9,1,1,0,1
A83043,06,5,3,2,0,"0.6666666666666666"
A83043,07,10,3,2,0,"0.6666666666666666"
A83043,08,13,7,5,0,"0.7142857142857143"
A83044,05,39,10,3,0,"0.3"
A83044,06,39,13,9,0,"0.6923076923076923"
